pharmacy_id,name,distance_km,price,stock,expiry_date,city,state,target_score
P001,MedPlus Pharmacy,0.94,47,57,2026-07-03,Mumbai,Maharashtra,0.7841
P002,Med Pharmacy,6.02,10,55,2026-01-29,Chennai,Tamil Nadu,0.6874
P003,Med Medicals,2.63,80,71,2025-12-19,Delhi,Delhi,0.5651
P004,Med Drugstore,1.83,44,55,2027-10-26,Mumbai,Maharashtra,0.7666
P005,MedPlus Chemists,0.34,28,88,2026-03-04,Ahmedabad,Gujarat,0.8512
P006,MedPlus Chemists,0.34,32,75,2027-12-16,Chennai,Tamil Nadu,0.8663
P007,MedPlus Pharmacy,0.12,96,197,2026-05-18,Chennai,Tamil Nadu,0.7168
P008,MedPlus Chemists,4.02,54,162,2026-11-04,Kolkata,West Bengal,0.7353
P009,Life Medicals,1.84,98,179,2026-05-01,Delhi,Delhi,0.6623
P010,HealthPlus Medicals,2.46,76,69,2027-02-28,Kolkata,West Bengal,0.674
P011,Apollo Medicals,0.04,34,80,2026-04-20,Chennai,Tamil Nadu,0.8643
P012,Life Medicals,7.01,103,101,2028-07-02,Delhi,Delhi,0.5127
P013,Care Medicals,3.57,59,143,2028-05-01,Pune,Maharashtra,0.7327
P014,Life Medicals,0.48,38,0,2026-03-12,Mumbai,Maharashtra,0.7139
P015,Wellness Medicals,0.4,78,16,2028-07-21,Hyderabad,Telangana,0.6568
P016,Apollo Pharmacy,0.41,97,68,2027-11-02,Mumbai,Maharashtra,0.6662
P017,Care Chemists,0.73,39,0,2027-05-29,Delhi,Delhi,0.7418
P018,MedPlus Drugstore,1.49,102,155,2028-01-10,Delhi,Delhi,0.6628
P019,Apollo Drugstore,1.13,67,28,2027-08-27,Chennai,Tamil Nadu,0.6845
P020,Apollo Medicals,0.69,107,0,2028-08-27,Mumbai,Maharashtra,0.5445
P021,Wellness Medicals,1.89,104,140,2028-04-20,Chennai,Tamil Nadu,0.6463
P022,HealthPlus Drugstore,0.3,77,166,2028-10-30,Ahmedabad,Gujarat,0.7674
P023,MedPlus Medicals,0.69,35,0,2027-03-22,Chennai,Tamil Nadu,0.7545
P024,Apollo Pharmacy,0.91,86,0,2026-02-08,Kolkata,West Bengal,0.5402
P025,MedPlus Medicals,1.22,61,124,2026-09-02,Ahmedabad,Gujarat,0.7895
P026,HealthPlus Chemists,3.08,63,0,2028-05-06,Kolkata,West Bengal,0.6091
P027,Med Chemists,0.45,91,0,2026-06-25,Bangalore,Karnataka,0.5976
P028,Med Drugstore,1.44,25,49,2028-06-11,Delhi,Delhi,0.8249
P029,Med Medicals,1.8,54,63,2026-05-09,Ahmedabad,Gujarat,0.7482
P030,MedPlus Pharmacy,0.1,105,3,2027-04-04,Delhi,Delhi,0.5698
P031,Med Chemists,1.87,72,102,2026-11-08,Pune,Maharashtra,0.7401
P032,Apollo Chemists,0.37,67,200,2027-07-13,Pune,Maharashtra,0.7947
P033,Pharma Medicals,0.13,38,55,2026-04-09,Kolkata,West Bengal,0.8114
P034,Apollo Pharmacy,5.95,94,128,2026-10-24,Bangalore,Karnataka,0.5672
P035,MedPlus Medicals,6.74,32,17,2027-04-01,Pune,Maharashtra,0.6232
P036,MedPlus Medicals,3.3,98,10,2028-04-12,Kolkata,West Bengal,0.5137
P037,Care Medicals,0.73,112,80,2028-02-24,Delhi,Delhi,0.6289
